"MACRORREGIÃO ","UNIDADES EXECUTANTES","COMPLEXIDADE","TIPO DE ATENDIMENTO","TIPO DE LEITO","ESPECIALIDADES","FLUXO REGULATÓRIO","PARTICULARIDADES DA SOLICITAÇÃO POR UNIDADE EXECUTANTE","COBERTURA SAD - MUNICÍPIO REFERÊNCIA X UN. EXECUTANTE","","","","","","","","","","","","","","","","","","","",""
"CENTRO OESTE","CORA - GOIÂNIA ","MÉDIA E ALTA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","ENFERMARIA PEDIATRICA","ONCOLOGIA CIRURGICA ","REGULAÇÃO PARA O LEITO","CORA - DE 0 a 17 ANOS, ONCOLOGIA EM GERAL, EXCETO TUMORES DE ORIGEM VASCULAR; GINECOLÓGICOS, MAMA E PELE. 
DE 18 a 23 ANOS APENAS NEOPLASIA MALIGNA ÓSSEA (sarcoma de Ewing e osteossarcoma)","","","","","","","","","","","","","","","","","","","","",""
"CENTRO OESTE","CORA - GOIÂNIA ","MÉDIA E ALTA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","ENFERMARIA PEDIATRICA","ONCOLOGIA","REGULAÇÃO PARA O LEITO","CORA - DE 0 a 17 ANOS, ONCOLOGIA EM GERAL, EXCETO TUMORES DE ORIGEM VASCULAR; GINECOLÓGICOS, MAMA E PELE. 
DE 18 a 23 ANOS APENAS NEOPLASIA MALIGNA ÓSSEA (sarcoma de Ewing e osteossarcoma)","","","","","","","","","","","","","","","","","","","","",""
"CENTRO NORTE","CORA - GOIÂNIA ","MÉDIA E ALTA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","ENFERMARIA PEDIATRICA","ONCOLOGIA CIRURGICA ","REGULAÇÃO PARA O LEITO","CORA - DE 0 a 17 ANOS, ONCOLOGIA EM GERAL, EXCETO TUMORES DE ORIGEM VASCULAR; GINECOLÓGICOS, MAMA E PELE. 
DE 18 a 23 ANOS APENAS NEOPLASIA MALIGNA ÓSSEA (sarcoma de Ewing e osteossarcoma)","","","","","","","","","","","","","","","","","","","","",""
"CENTRO NORTE","CORA - GOIÂNIA ","MÉDIA E ALTA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","ENFERMARIA PEDIATRICA","ONCOLOGIA","REGULAÇÃO PARA O LEITO","CORA - DE 0 a 17 ANOS, ONCOLOGIA EM GERAL, EXCETO TUMORES DE ORIGEM VASCULAR; GINECOLÓGICOS, MAMA E PELE. 
DE 18 a 23 ANOS APENAS NEOPLASIA MALIGNA ÓSSEA (sarcoma de Ewing e osteossarcoma)","","","","","","","","","","","","","","","","","","","","",""
"CENTRO OESTE","CORA - GOIÂNIA ","MÉDIA E ALTA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","UTI PEDIATRICA","ONCOLOGIA ","REGULAÇÃO PARA O LEITO","CORA - DE 0 a 17 ANOS, ONCOLOGIA EM GERAL, EXCETO TUMORES DE ORIGEM VASCULAR; GINECOLÓGICOS, MAMA E PELE. 
DE 18 a 23 ANOS APENAS NEOPLASIA MALIGNA ÓSSEA (sarcoma de Ewing e osteossarcoma)","","","","","","","","","","","","","","","","","","","","",""
"CENTRO OESTE","CORA - GOIÂNIA ","MÉDIA E ALTA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","UTI PEDIATRICA","ONCOLOGIA ","INTERNAÇÃO PRÓPRIA (COTA DIRETA)","CORA - SOMENTE PARA PACIENTES EGRESSOS DE CIRURGIA ELETIVA OU DO AMBULATORIO ","","","","","","","","","","","","","","","","","","","","",""
"CENTRO OESTE","CORA - GOIÂNIA ","MÉDIA E ALTA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","ENFERMARIA PEDIATRICA","ONCOLOGIA","INTERNAÇÃO PRÓPRIA (COTA DIRETA)","CORA - SOMENTE PARA PACIENTES EGRESSOS DE CIRURGIA ELETIVA OU DO AMBULATORIO ","","","","","","","","","","","","","","","","","","","","",""
"CENTRO OESTE","CRER - GOIÂNIA","MÉDIA E ALTA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","UTI ADULTO","CLÍNICA MÉDICA ","REGULAÇÃO PARA O LEITO","CRER- CONDIÇÕES CLÍNICAS AGUDAS OU DESCOMPENSAÇÃO DE DOENÇAS CRÔNICAS, DISTÚRBIOS HIDROELETROLÍTICOS E OUTRAS INTERCORRÊNCIAS CLÍNICAS QUE NÃO TENHAM INDICAÇÃO PRIMÁRIA CIRÚRGICA OU TRAUMÁTICA.

NÃO É PERFIL: IRA OU DRC, HEMORRAGIA DIGESTIVA, SERVIÇO DE HEMODINÂMICA, PÓS-PCR DE CAUSA NÃO DEFINIDA, IAM, AVC, DOENÇAS INFECTOCONTAGIOSAS, ONCOLOGIA, HEMATOLOGIA, REUMATOLOGIA, PSIQUIATRIA, GINECOLOGIA E OBSTETRÍCIA, NEUROCIRURGIA EM GERAL, CARDIOCIRURGIA, EMBOLIZAÇÃO, TROMBÓLISE E GASTROENTEROLOGIA.","","","","","","","","","","","","","","","","","","","","",""
"CENTRO NORTE","CRER - GOIÂNIA","MÉDIA E ALTA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","UTI ADULTO","CLÍNICA MÉDICA ","REGULAÇÃO PARA O LEITO","CRER- CONDIÇÕES CLÍNICAS AGUDAS OU DESCOMPENSAÇÃO DE DOENÇAS CRÔNICAS, DISTÚRBIOS HIDROELETROLÍTICOS E OUTRAS INTERCORRÊNCIAS CLÍNICAS QUE NÃO TENHAM INDICAÇÃO PRIMÁRIA CIRÚRGICA OU TRAUMÁTICA.

NÃO É PERFIL: IRA OU DRC, HEMORRAGIA DIGESTIVA, SERVIÇO DE HEMODINÂMICA, PÓS-PCR DE CAUSA NÃO DEFINIDA, IAM, AVC, DOENÇAS INFECTOCONTAGIOSAS, ONCOLOGIA, HEMATOLOGIA, REUMATOLOGIA, PSIQUIATRIA, GINECOLOGIA E OBSTETRÍCIA, NEUROCIRURGIA EM GERAL, CARDIOCIRURGIA, EMBOLIZAÇÃO, TROMBÓLISE E GASTROENTEROLOGIA.","","","","","","","","","","","","","","","","","","","","",""
"CENTRO SUDESTE","CRER - GOIÂNIA","MÉDIA E ALTA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","UTI ADULTO","CLÍNICA MÉDICA ","REGULAÇÃO PARA O LEITO","CRER- CONDIÇÕES CLÍNICAS AGUDAS OU DESCOMPENSAÇÃO DE DOENÇAS CRÔNICAS, DISTÚRBIOS HIDROELETROLÍTICOS E OUTRAS INTERCORRÊNCIAS CLÍNICAS QUE NÃO TENHAM INDICAÇÃO PRIMÁRIA CIRÚRGICA OU TRAUMÁTICA.

NÃO É PERFIL: IRA OU DRC, HEMORRAGIA DIGESTIVA, SERVIÇO DE HEMODINÂMICA, PÓS-PCR DE CAUSA NÃO DEFINIDA, IAM, AVC, DOENÇAS INFECTOCONTAGIOSAS, ONCOLOGIA, HEMATOLOGIA, REUMATOLOGIA, PSIQUIATRIA, GINECOLOGIA E OBSTETRÍCIA, NEUROCIRURGIA EM GERAL, CARDIOCIRURGIA, EMBOLIZAÇÃO, TROMBÓLISE E GASTROENTEROLOGIA.","","","","","","","","","","","","","","","","","","","","",""
