"UNIDADES EXECUTANTES","TIPO DE LEITO","ESPECIALIDADES","FLUXO REGULATÓRIO","PARTICULARIDADES DA SOLICITAÇÃO POR UNIDADE EXECUTANTE","COBERTURA SAD - MUNICÍPIO REFERÊNCIA X UN. EXECUTANTE","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL ARAUJO JORGE GOIâNIA (INTERMEDIAÇÃO SISCV)","UTI ADULTO","ONCOLOGIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL ARAUJO JORGE GOIâNIA (INTERMEDIAÇÃO SISCV)","UTI ADULTO","ONCOLOGIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL ARAUJO JORGE GOIâNIA (INTERMEDIAÇÃO SISCV)","UTI ADULTO","ONCOLOGIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL ARAUJO JORGE GOIâNIA (INTERMEDIAÇÃO SISCV)","UTI ADULTO","ONCOLOGIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL ARAUJO JORGE GOIâNIA (INTERMEDIAÇÃO SISCV)","UTI ADULTO","ONCOLOGIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL ARAUJO JORGE GOIâNIA (INTERMEDIAÇÃO SISCV)","UTI ADULTO","ONCOLOGIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL ARAUJO JORGE GOIâNIA (INTERMEDIAÇÃO SISCV)","ENFERMARIA ADULTO","ONCOLOGIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL ARAUJO JORGE GOIâNIA (INTERMEDIAÇÃO SISCV)","ENFERMARIA ADULTO","ONCOLOGIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL ARAUJO JORGE GOIâNIA (INTERMEDIAÇÃO SISCV)","ENFERMARIA ADULTO","ONCOLOGIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL ARAUJO JORGE GOIâNIA (INTERMEDIAÇÃO SISCV)","ENFERMARIA ADULTO","ONCOLOGIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
